elapsed_seconds,client_id,latency_ms
0.19,1,12.489
0.19,2,2.866
0.19,3,2.992
0.19,4,2.816
15.017,1,15.734
15.017,2,15.806
15.017,3,2.535
15.017,4,2.174
30.027,1,2.83
30.027,2,2.398
30.027,3,11.046
30.027,4,25.962
45.005,1,4.218
45.005,2,4.267
45.005,3,2.717
45.005,4,2.671
60.019,1,2.941
60.019,2,2.977
60.019,3,2.806
60.019,4,17.974
75.016,1,3.113
75.016,2,15.057
75.016,3,2.37
75.016,4,2.443
90.024,1,23.664
90.024,2,2.223
90.024,3,23.282
90.024,4,22.71
105.018,1,2.973
105.018,2,3.908
105.018,3,2.575
105.018,4,17.347
120.024,1,3.3
120.024,2,2.918
120.024,3,22.757
120.024,4,22.451
135.022,1,3.618
135.022,2,21.558
135.022,3,2.351
135.022,4,1.839
150.027,1,1.199
150.027,2,25.727
150.027,3,25.603
150.027,4,0.849
165.018,1,1.541
165.018,2,16.986
165.018,3,1.137
165.018,4,16.94
180.003,1,1.468
180.003,2,2.089
180.003,3,0.897
180.003,4,1.095
195.002,1,1.214
195.002,2,1.137
195.002,3,1.411
195.002,4,0.868
210.017,1,15.92
210.017,2,0.99
210.017,3,1.006
210.017,4,15.065
225.025,1,1.242
225.025,2,24.25
225.025,3,24.282
225.025,4,1.603
240.022,1,1.363
240.022,2,20.316
240.022,3,1.22
240.022,4,20.233
255.015,1,14.141
255.015,2,14.402
255.015,3,14.108
255.015,4,14.046
270.021,1,20.16
270.021,2,20.119
270.021,3,19.838
270.021,4,19.817
285.024,1,1.623
285.024,2,23.204
285.024,3,1.131
285.024,4,1.457
300.02,1,1.301
300.02,2,1.285
300.02,3,19.121
300.02,4,18.72
315.002,1,1.226
315.002,2,1.162
315.002,3,1.03
315.002,4,0.689
330.025,1,1.469
330.025,2,1.42
330.025,3,1.237
330.025,4,23.275
345.003,1,1.194
345.003,2,1.272
345.003,3,1.004
345.003,4,1.441
360.025,1,1.186
360.025,2,23.602
360.025,3,23.373
360.025,4,0.721
375.003,1,1.281
375.003,2,1.349
375.003,3,0.893
375.003,4,0.783
390.026,1,1.202
390.026,2,1.117
390.026,3,1.66
390.026,4,25.456
405.002,1,1.282
405.002,2,1.093
405.002,3,0.919
405.002,4,0.854
420.025,1,23.957
420.025,2,23.944
420.025,3,23.566
420.025,4,1.079
435.012,1,1.225
435.012,2,1.2
435.012,3,1.169
435.012,4,11.179
450.025,1,23.957
450.025,2,24.079
450.025,3,0.716
450.025,4,23.636
465.021,1,2.038
465.021,2,1.56
465.021,3,19.408
465.021,4,19.8
480.023,1,22.182
480.023,2,1.007
480.023,3,21.546
480.023,4,19.247
495.026,1,1.754
495.026,2,24.812
495.026,3,1.53
495.026,4,24.302
510.017,1,1.366
510.017,2,16.108
510.017,3,1.002
510.017,4,15.644
525.016,1,1.331
525.016,2,14.844
525.016,3,1.018
525.016,4,1.129
540.026,1,1.338
540.026,2,1.133
540.026,3,24.983
540.026,4,1.298
555.018,1,1.119
555.018,2,1.211
555.018,3,17.264
555.018,4,17.355
570.02,1,1.227
570.02,2,1.014
570.02,3,18.532
570.02,4,18.76
585.003,1,1.463
585.003,2,1.713
585.003,3,1.52
585.003,4,1.661
600.019,1,17.966
600.019,2,1.218
600.019,3,0.974
600.019,4,17.399
615.019,1,18.237
615.019,2,1.259
615.019,3,1.417
615.019,4,0.903
630.014,1,1.231
630.014,2,1.177
630.014,3,13.146
630.014,4,0.673
645.012,1,11.051
645.012,2,11.106
645.012,3,0.814
645.012,4,0.736
660.02,1,18.681
660.02,2,1.025
660.02,3,0.956
660.02,4,17.871
675.026,1,1.189
675.026,2,0.978
675.026,3,24.419
675.026,4,0.878
690.003,1,1.461
690.003,2,1.287
690.003,3,1.367
690.003,4,1.396
705.022,1,21.334
705.022,2,21.324
705.022,3,1.241
705.022,4,0.761
720.019,1,18.588
720.019,2,1.462
720.019,3,1.129
720.019,4,1.153
735.015,1,13.981
735.015,2,1.582
735.015,3,1.133
735.015,4,13.01
750.017,1,15.234
750.017,2,0.846
750.017,3,14.673
750.017,4,0.468
765.026,1,24.82
