elapsed_seconds,tick_ms,tps,rss_bytes,process_cpu_seconds,normalized_cpu_percent,old_generation_percent,young_gc_count,full_gc_count,gc_time_seconds
0.537,1.639,20.0,1520971776,107.344,0.146,76.41,54.0,0.0,0.404
30.39,1.691,20.0,1555677184,108.469,0.188,42.22,55.0,0.0,0.416
60.336,1.821,20.0,1590611968,109.672,0.201,76.52,56.0,0.0,0.428
90.371,1.462,20.0,1604317184,111.578,0.317,77.47,57.0,0.0,0.431
120.437,1.595,20.0,1640902656,112.562,0.164,77.47,57.0,0.0,0.431
150.389,1.496,20.0,1657958400,113.781,0.203,69.42,58.0,0.0,0.438
180.337,1.389,20.0,1658052608,114.422,0.107,77.22,60.0,0.0,0.447
210.351,1.519,20.0,1658351616,115.203,0.13,77.22,60.0,0.0,0.447
240.383,1.337,20.0,1659260928,116.219,0.169,78.14,61.0,0.0,0.452
270.404,1.388,20.0,1660682240,116.953,0.122,78.14,61.0,0.0,0.452
300.397,1.457,20.0,1660723200,117.703,0.125,78.26,63.0,0.0,0.46
330.389,1.404,20.0,1661501440,118.422,0.12,78.26,63.0,0.0,0.46
360.453,1.481,20.0,1661992960,119.594,0.195,78.84,64.0,0.0,0.465
390.406,1.294,20.0,1662349312,120.312,0.12,78.84,64.0,0.0,0.465
420.389,1.367,20.0,1662881792,120.969,0.109,79.0,66.0,0.0,0.475
450.449,1.388,20.0,1662828544,121.609,0.107,79.0,66.0,0.0,0.475
480.415,1.468,20.0,1663418368,122.781,0.196,79.4,67.0,0.0,0.481
510.318,1.36,20.0,1663377408,123.422,0.107,79.4,67.0,0.0,0.481
540.419,1.345,20.0,1664888832,124.359,0.156,79.41,69.0,0.0,0.497
570.399,1.346,20.0,1665191936,124.922,0.094,79.41,69.0,0.0,0.497
600.337,1.379,20.0,1665699840,125.547,0.104,79.41,69.0,0.0,0.497
630.33,1.415,20.0,1665921024,126.547,0.167,79.61,70.0,0.0,0.502
660.339,1.385,20.0,1665904640,127.266,0.12,31.76,71.0,0.0,0.505
690.365,1.496,20.0,1667031040,128.078,0.135,79.46,72.0,0.0,0.509
720.311,1.374,20.0,1667399680,128.797,0.12,79.46,72.0,0.0,0.509
750.364,1.382,20.0,1668800512,130.094,0.216,79.76,73.0,0.0,0.522
780.375,1.396,20.0,1668923392,130.922,0.138,31.63,74.0,0.0,0.526
810.396,1.476,20.0,1669476352,131.578,0.109,79.68,75.0,0.0,0.53
840.332,1.367,20.0,1665478656,132.656,0.18,80.75,76.0,0.0,0.538
870.467,1.619,20.0,1665421312,133.375,0.119,80.75,76.0,0.0,0.538
900.353,1.476,20.0,1666330624,134.016,0.107,80.07,78.0,0.0,0.544
930.344,1.628,20.0,1668161536,134.781,0.128,80.07,78.0,0.0,0.544
960.347,1.472,20.0,1662173184,136.016,0.206,81.37,79.0,0.0,0.55
990.393,1.518,20.0,1662046208,136.828,0.135,81.37,79.0,0.0,0.55
1020.361,1.419,20.0,1662205952,137.531,0.117,79.84,81.0,0.0,0.558
1050.365,1.361,20.0,1662263296,138.234,0.117,79.84,81.0,0.0,0.558
1080.351,1.484,20.0,1654644736,139.062,0.138,81.37,82.0,0.0,0.566
1110.355,1.544,20.0,1654652928,139.734,0.112,81.37,82.0,0.0,0.566
1140.316,1.355,20.0,1655144448,140.406,0.112,80.18,84.0,0.0,0.574
1170.374,1.658,20.0,1655410688,141.203,0.133,80.18,84.0,0.0,0.574
1200.45,1.38,20.0,1652367360,142.234,0.171,80.83,85.0,0.0,0.581
1230.435,1.44,20.0,1653587968,143.047,0.135,80.83,85.0,0.0,0.581
1260.344,1.387,20.0,1653796864,143.672,0.104,80.16,87.0,0.0,0.591
1290.361,1.338,20.0,1654087680,144.438,0.128,80.16,87.0,0.0,0.591
1320.403,1.366,20.0,1654153216,145.141,0.117,80.18,88.0,0.0,0.596
1350.346,1.434,20.0,1654218752,146.219,0.18,80.18,88.0,0.0,0.596
1380.371,1.36,20.0,1654222848,146.859,0.107,31.28,89.0,0.0,0.598
1410.41,1.47,20.0,1654288384,147.516,0.109,79.93,90.0,0.0,0.604
1440.32,1.409,20.0,1654714368,148.172,0.11,79.93,90.0,0.0,0.604
1470.329,1.368,20.0,1647144960,149.156,0.164,81.48,91.0,0.0,0.609
1500.331,1.354,20.0,1647308800,149.734,0.096,81.48,91.0,0.0,0.609
1530.322,1.318,20.0,1647628288,150.406,0.112,80.13,93.0,0.0,0.62
1560.388,1.404,20.0,1647722496,151.031,0.104,80.13,93.0,0.0,0.62
1590.339,1.384,20.0,1647947776,152.188,0.193,80.15,94.0,0.0,0.628
1620.464,1.321,20.0,1647947776,152.812,0.104,80.15,94.0,0.0,0.628
1650.334,1.258,20.0,1647947776,153.594,0.131,31.3,95.0,0.0,0.632
1680.349,1.338,20.0,1647947776,154.219,0.104,79.93,96.0,0.0,0.639
1710.388,1.433,20.0,1648017408,155.062,0.14,79.93,96.0,0.0,0.639
1740.334,1.34,20.0,1645240320,156.016,0.159,80.59,97.0,0.0,0.644
1770.376,1.32,20.0,1645240320,156.781,0.127,80.59,97.0,0.0,0.644
1800.327,1.326,20.0,1645199360,157.375,0.099,80.04,99.0,0.0,0.652
1830.364,1.356,20.0,1645641728,158.0,0.104,80.04,99.0,0.0,0.652
1860.416,1.245,20.0,1645727744,159.141,0.19,80.09,100.0,0.0,0.657
1890.321,1.336,20.0,1645731840,159.844,0.118,80.09,100.0,0.0,0.657
1920.331,1.392,20.0,1645867008,160.656,0.135,79.93,102.0,0.0,0.666
1950.382,1.436,20.0,1645879296,161.297,0.107,79.93,102.0,0.0,0.666
1980.4,1.377,20.0,1641545728,161.984,0.115,80.81,103.0,0.0,0.673
2010.324,1.305,20.0,1642082304,162.688,0.117,80.81,103.0,0.0,0.673
2040.332,1.285,20.0,1642090496,163.531,0.141,31.36,104.0,0.0,0.675
2070.351,1.336,20.0,1643495424,164.062,0.088,80.27,105.0,0.0,0.681
2100.351,1.315,20.0,1643618304,164.547,0.081,80.27,105.0,0.0,0.681
2130.328,1.287,20.0,1640505344,165.391,0.141,80.95,106.0,0.0,0.686
2160.335,1.281,20.0,1640505344,166.047,0.109,80.95,106.0,0.0,0.686
2190.333,1.338,20.0,1640558592,166.516,0.078,80.41,108.0,0.0,0.694
2220.419,1.312,20.0,1640558592,167.156,0.106,80.41,108.0,0.0,0.694
2250.446,1.296,20.0,1640579072,168.062,0.151,80.42,109.0,0.0,0.701
2280.41,1.239,20.0,1640579072,168.453,0.065,80.42,109.0,0.0,0.701
2310.359,1.282,20.0,1640579072,169.109,0.11,80.25,111.0,0.0,0.705
2340.419,1.207,20.0,1640710144,169.578,0.078,80.25,111.0,0.0,0.705
2370.338,1.336,20.0,1640710144,170.297,0.12,80.25,111.0,0.0,0.705
2400.388,1.271,20.0,1640710144,171.188,0.148,80.26,112.0,0.0,0.711
